region,data_group,dataset,exclusion_type,inclusion_possible
greenland_periphery,demdiff_and_glaciological,WGMS-mean_ba,annual,yes
iceland,altimetry,Foresta,annual,yes
iceland,altimetry,Tepes,annual,yes
iceland,demdiff_and_glaciological,UZH_GlaciolSineWave,annual,yes
iceland,demdiff_and_glaciological,WGMS-mean_ba,annual,yes
iceland,gravimetry,Jacob_2012_dmdt,annual,yes
low_latitudes,demdiff_and_glaciological,WGMS-mean_ba,annual,yes
low_latitudes,gravimetry,Jacob_2012_dmdt,annual,yes
low_latitudes,gravimetry,Jacob_2012_dmdt,trend,yes
low_latitudes,gravimetry,Sasgen_AWIarc_RL01_2,annual,yes
low_latitudes,gravimetry,Sasgen_AWIarc_RL01_2,trend,yes
low_latitudes,gravimetry,Wouters,annual,yes
low_latitudes,gravimetry,Wouters,trend,yes
new_zealand,demdiff_and_glaciological,UZH_GlaciolSineWave,annual,yes
new_zealand,demdiff_and_glaciological,WGMS-mean_ba,annual,yes
new_zealand,gravimetry,Harig_Group,annual,yes
new_zealand,gravimetry,Harig_Group,trend,yes
new_zealand,gravimetry,Jacob_2012_dmdt,annual,yes
new_zealand,gravimetry,Jacob_2012_dmdt,trend,yes
new_zealand,gravimetry,Sasgen_AWIarc_RL01_2,annual,yes
new_zealand,gravimetry,Sasgen_AWIarc_RL01_2,trend,yes
new_zealand,gravimetry,Wouters,annual,yes
new_zealand,gravimetry,Wouters,trend,yes
north_asia,demdiff_and_glaciological,UZH_GlaciolSineWave,annual,yes
north_asia,demdiff_and_glaciological,WGMS-mean_ba,annual,yes
north_asia,gravimetry,Jacob_2012_dmdt,annual,yes
north_asia,gravimetry,Jacob_2012_dmdt,trend,yes
north_asia,gravimetry,Sasgen_AWIarc_RL01_2,annual,yes
north_asia,gravimetry,Sasgen_AWIarc_RL01_2,trend,yes
north_asia,gravimetry,Wouters,annual,yes
north_asia,gravimetry,Wouters,trend,yes
russian_arctic,altimetry,Gardner2013_icesat,annual,yes
russian_arctic,altimetry,Tepes,annual,yes
russian_arctic,demdiff_and_glaciological,UZH_GlaciolSineWave,annual,yes
russian_arctic,demdiff_and_glaciological,WGMS-mean_ba,annual,yes
russian_arctic,gravimetry,Jacob_2012_dmdt,annual,yes
scandinavia,demdiff_and_glaciological,UZH_GlaciolSineWave,annual,yes
scandinavia,demdiff_and_glaciological,WGMS-mean_ba,annual,yes
scandinavia,gravimetry,Jacob_2012_dmdt,annual,yes
scandinavia,gravimetry,Jacob_2012_dmdt,trend,yes
scandinavia,gravimetry,Sasgen_AWIarc_RL01_2,annual,yes
scandinavia,gravimetry,Sasgen_AWIarc_RL01_2,trend,yes
scandinavia,gravimetry,Wouters,annual,yes
scandinavia,gravimetry,Wouters,trend,yes
south_asia_east,altimetry,Ke,annual,yes
south_asia_east,altimetry,Treichler_ICESat,annual,no
south_asia_east,altimetry,Treichler_ICESat,trend,yes
south_asia_east,altimetry,Treichler_snowfall,annual,no
south_asia_east,demdiff_and_glaciological,UZH_GlaciolSineWave,annual,yes
south_asia_east,demdiff_and_glaciological,WGMS-mean_ba,annual,yes
south_asia_east,gravimetry,Jacob_2012_dmdt,annual,yes
south_asia_east,gravimetry,Jacob_2012_dmdt,trend,yes
south_asia_east,gravimetry,Sasgen_AWIarc_RL01_2,annual,yes
south_asia_east,gravimetry,Sasgen_AWIarc_RL01_2,trend,yes
south_asia_east,gravimetry,Wouters,annual,yes
south_asia_east,gravimetry,Wouters,trend,yes
south_asia_west,altimetry,Ke,annual,yes
south_asia_west,altimetry,Treichler_ICESat,annual,no
south_asia_west,altimetry,Treichler_ICESat,trend,yes
south_asia_west,altimetry,Treichler_snowfall,annual,no
south_asia_west,demdiff_and_glaciological,UZH_GlaciolSineWave,annual,yes
south_asia_west,demdiff_and_glaciological,WGMS-mean_ba,annual,yes
south_asia_west,gravimetry,Jacob_2012_dmdt,annual,yes
south_asia_west,gravimetry,Jacob_2012_dmdt,trend,yes
south_asia_west,gravimetry,Sasgen_AWIarc_RL01_2,annual,yes
south_asia_west,gravimetry,Sasgen_AWIarc_RL01_2,trend,yes
south_asia_west,gravimetry,Wouters,annual,yes
south_asia_west,gravimetry,Wouters,trend,yes
southern_andes,demdiff_and_glaciological,UZH_GlaciolSineWave,annual,yes
southern_andes,demdiff_and_glaciological,WGMS-mean_ba,annual,yes
southern_andes,gravimetry,Harig_Group,annual,yes
southern_andes,gravimetry,Harig_Group,trend,yes
southern_andes,gravimetry,Jacob_2012_dmdt,annual,yes
svalbard,altimetry,Gardner2013_icesat,annual,yes
svalbard,altimetry,Tepes,annual,yes
svalbard,demdiff_and_glaciological,UZH_GlaciolSineWave,annual,yes
svalbard,demdiff_and_glaciological,WGMS-mean_ba,annual,yes
svalbard,gravimetry,Jacob_2012_dmdt,annual,yes
western_canada_us,altimetry,Menounos_WNA_alt1,annual,yes
western_canada_us,altimetry,Menounos_WNA_is2gedi,annual,yes
western_canada_us,demdiff_and_glaciological,Menounos_WNA_glac,annual,yes
western_canada_us,demdiff_and_glaciological,UZH_GlaciolSineWave,annual,yes
western_canada_us,demdiff_and_glaciological,WGMS-mean_ba,annual,yes
western_canada_us,gravimetry,Harig_Group,annual,yes
western_canada_us,gravimetry,Harig_Group,trend,yes
western_canada_us,gravimetry,Jacob_2012_dmdt,annual,yes
western_canada_us,gravimetry,Jacob_2012_dmdt,trend,yes
western_canada_us,gravimetry,Sasgen_AWIarc_RL01_2,annual,yes
western_canada_us,gravimetry,Sasgen_AWIarc_RL01_2,trend,yes
western_canada_us,gravimetry,Wouters,annual,yes
western_canada_us,gravimetry,Wouters,trend,yes
