start_dates,end_dates,changes,errors,glacier_area_reference,glacier_area_observed
2005.0,2005.0849315068488,0.0375,0.0507,49303.4,49755.2
2005.0849315068488,2005.1616438356164,0.053,0.0616,49303.4,49755.2
2005.1616438356164,2005.2465753424656,0.0712,0.074,49303.4,49755.2
2005.2465753424656,2005.328767123288,0.0682,0.0593,49303.4,49755.2
2005.328767123288,2005.4136986301369,0.1007,0.0772,49303.4,49755.2
2005.4136986301369,2005.495890410959,-0.0069,0.1577,49303.4,49755.2
2005.495890410959,2005.580821917808,-0.2222,0.2201,49303.4,49755.2
2005.580821917808,2005.6657534246576,-0.259,0.1836,49303.4,49755.2
2005.6657534246576,2005.74794520548,-0.0606,0.1546,49303.4,49755.2
2005.74794520548,2005.8328767123287,0.0638,0.0734,49303.4,49485.4
2005.8328767123287,2005.9150684931508,0.0273,0.0353,49303.4,49485.4
2005.9150684931508,2006.0,0.0276,0.0382,49303.4,49485.4
2006.0,2006.0849315068488,0.0612,0.089,49303.4,49485.4
2006.0849315068488,2006.1616438356164,0.0656,0.0789,49303.4,49485.4
2006.1616438356164,2006.2465753424656,0.0501,0.0572,49303.4,49485.4
2006.2465753424656,2006.328767123288,0.0637,0.0473,49303.4,49485.4
2006.328767123288,2006.4136986301369,0.0897,0.0788,49303.4,49485.4
2006.4136986301369,2006.495890410959,-0.0717,0.1696,49303.4,49485.4
2006.495890410959,2006.580821917808,-0.4367,0.1579,49303.4,49485.4
2006.580821917808,2006.6657534246576,-0.4975,0.2101,49303.4,49485.4
2006.6657534246576,2006.74794520548,-0.1141,0.1397,49303.4,49485.4
2006.74794520548,2006.8328767123287,0.0538,0.0605,49303.4,49069.6
2006.8328767123287,2006.9150684931508,0.0418,0.0526,49303.4,49069.6
2006.9150684931508,2007.0,0.0324,0.0414,49303.4,49069.6
2007.0,2007.0849315068488,0.0225,0.0327,49303.4,49069.6
2007.0849315068488,2007.1616438356164,0.0441,0.0554,49303.4,49069.6
2007.1616438356164,2007.2465753424656,0.0915,0.1111,49303.4,49069.6
2007.2465753424656,2007.328767123288,0.0526,0.0492,49303.4,49069.6
2007.328767123288,2007.4136986301369,0.0897,0.0667,49303.4,49069.6
2007.4136986301369,2007.495890410959,-0.0918,0.1898,49303.4,49069.6
2007.495890410959,2007.580821917808,-0.3045,0.1827,49303.4,49069.6
2007.580821917808,2007.6657534246576,-0.4043,0.1722,49303.4,49069.6
2007.6657534246576,2007.74794520548,-0.0906,0.1546,49303.4,49069.6
2007.74794520548,2007.8328767123287,0.037,0.047,49303.4,48619.3
2007.8328767123287,2007.9150684931508,0.0311,0.0448,49303.4,48619.3
2007.9150684931508,2008.0,0.0388,0.0661,49303.4,48619.3
2008.0,2008.084699453552,0.0487,0.0606,49303.4,48619.3
2008.084699453552,2008.1639344262296,0.0443,0.0533,49303.4,48619.3
2008.1639344262296,2008.2486338797808,0.0467,0.0442,49303.4,48619.3
2008.2486338797808,2008.330601092896,0.0749,0.0681,49303.4,48619.3
2008.330601092896,2008.415300546448,0.0797,0.0689,49303.4,48619.3
2008.415300546448,2008.4972677595629,-0.1838,0.1713,49303.4,48619.3
2008.4972677595629,2008.5819672131147,-0.442,0.1866,49303.4,48619.3
2008.5819672131147,2008.6666666666667,-0.4421,0.2945,49303.4,48619.3
2008.6666666666667,2008.7486338797808,-0.0991,0.1354,49303.4,48619.3
2008.7486338797808,2008.8333333333333,0.0704,0.0748,49303.4,48411.2
2008.8333333333333,2008.915300546448,0.0414,0.0505,49303.4,48411.2
2008.915300546448,2009.0,0.0414,0.0572,49303.4,48411.2
2009.0,2009.0849315068488,0.0334,0.0439,49303.4,48411.2
2009.0849315068488,2009.1616438356164,0.0571,0.0695,49303.4,48411.2
2009.1616438356164,2009.2465753424656,0.0609,0.068,49303.4,48411.2
2009.2465753424656,2009.328767123288,0.081,0.0959,49303.4,48411.2
2009.328767123288,2009.4136986301369,0.1096,0.0852,49303.4,48411.2
2009.4136986301369,2009.495890410959,0.0454,0.1753,49303.4,48411.2
2009.495890410959,2009.580821917808,-0.1501,0.2782,49303.4,48411.2
2009.580821917808,2009.6657534246576,-0.197,0.2694,49303.4,48411.2
2009.6657534246576,2009.74794520548,0.023,0.2086,49303.4,48411.2
2009.74794520548,2009.8328767123287,0.0519,0.053,49303.4,48471.9
2009.8328767123287,2009.9150684931508,0.0482,0.0575,49303.4,48471.9
2009.9150684931508,2010.0,0.0388,0.0608,49303.4,48471.9
2010.0,2010.0849315068488,0.0458,0.0695,49303.4,48471.9
2010.0849315068488,2010.1616438356164,0.0772,0.1108,49303.4,48471.9
2010.1616438356164,2010.2465753424656,0.0782,0.0832,49303.4,48471.9
2010.2465753424656,2010.328767123288,0.0624,0.0537,49303.4,48471.9
2010.328767123288,2010.4136986301369,0.128,0.0927,49303.4,48471.9
2010.4136986301369,2010.495890410959,0.076,0.1898,49303.4,48471.9
2010.495890410959,2010.580821917808,-0.2264,0.2588,49303.4,48471.9
2010.580821917808,2010.6657534246576,-0.4468,0.2282,49303.4,48471.9
2010.6657534246576,2010.74794520548,0.0585,0.1678,49303.4,48471.9
2010.74794520548,2010.8328767123287,0.0639,0.0614,49303.4,48491.1
2010.8328767123287,2010.9150684931508,0.0223,0.0257,49303.4,48491.1
2010.9150684931508,2011.0,0.0205,0.0216,49303.4,48491.1
2011.0,2011.0849315068488,0.0288,0.0379,49303.4,48491.1
2011.0849315068488,2011.1616438356164,0.0661,0.0939,49303.4,48491.1
2011.1616438356164,2011.2465753424656,0.0639,0.0632,49303.4,48491.1
2011.2465753424656,2011.328767123288,0.06,0.0569,49303.4,48491.1
2011.328767123288,2011.4136986301369,0.0996,0.0878,49303.4,48491.1
2011.4136986301369,2011.495890410959,0.0919,0.143,49303.4,48491.1
2011.495890410959,2011.580821917808,-0.1443,0.2,49303.4,48491.1
2011.580821917808,2011.6657534246576,-0.2827,0.2117,49303.4,48491.1
